Rank	Hole Cards	Overall	WinHi %	TieHi %	WinLo %	TieLo %	Occur %	Cumul %
264	A- A- 5- 2-	21.4201	10.6647	0.6269	22.4762	11.7376	0.0044	1.5631
265	Ax Qx 4x 2-	21.4134	8.7578	1.9887	21.0349	17.0411	0.0044	1.5675
266	Ax Qy Jy 2x	21.3919	14.3398	3.0857	13.9089	12.1114	0.0044	1.572
267	Ax Ky 2x 2y	21.3907	13.738	1.1788	18.2297	9.7503	0.0044	1.5764
268	Ax Ay Jx 4y	21.3785	20.1601	0.9146	11.4444	6.4799	0.0044	1.5808
269	Ax Jy 5x 2y	21.3661	11.7125	2.0796	17.9518	14.8733	0.0044	1.5853
270	Ax J- 4x 2x	21.3572	8.4799	1.9728	21.0045	17.1473	0.0044	1.5897
271	Ax A- 9- 2x	21.3462	14.5063	0.1768	18.2257	9.6307	0.0088	1.5986
272	Ax Ay Kx 4y	21.3391	20.1255	0.951	11.3456	6.4207	0.0044	1.603
273	Ax Qx 4- 2x	21.3307	8.6459	2.0389	20.9619	17.1278	0.0044	1.6074
274	Ax 4- 4- 2x	21.3289	10.0085	0.6649	22.1927	14.4772	0.0044	1.6119
275	Ax Ay Tx 4y	21.3238	20.1899	0.9079	11.3719	6.4474	0.0044	1.6163
276	Ax Ay Qx 4y	21.3191	20.1689	0.932	11.2756	6.4262	0.0044	1.6207
277	Ax Ky Tx 2y	21.3079	14.5908	2.6671	13.9119	12.1023	0.0044	1.6251
278	A- Q- 3- 2-	21.2888	5.0994	1.8626	24.2831	19.6525	0.0088	1.634
